id,state,county,rate
17041,Illinois,Douglas County,1.5
17043,Illinois,DuPage County,1.5
17045,Illinois,Edgar County,1.5
17047,Illinois,Edwards County,1.5
17049,Illinois,Effingham County,1.5
17051,Illinois,Fayette County,1.5
17053,Illinois,Ford County,1.5
17055,Illinois,Franklin County,1.5
17057,Illinois,Fulton County,1.5
17059,Illinois,Gallatin County,1.5
17061,Illinois,Greene County,1.5
17063,Illinois,Grundy County,1.5
17065,Illinois,Hamilton County,1.5
17067,Illinois,Hancock County,1.5
17069,Illinois,Hardin County,1.5
17071,Illinois,Henderson County,1.5
61413,Illinois,Henry County,2
17075,Illinois,Iroquois County,1.5
17077,Illinois,Jackson County,1.5
17079,Illinois,Jasper County,1.5
17081,Illinois,Jefferson County,1.5
17083,Illinois,Jersey County,1.5
61001,Illinois,Jo Daviess County,2
17087,Illinois,Johnson County,1.5
17089,Illinois,Kane County,1.5
17091,Illinois,Kankakee County,1.5
17093,Illinois,Kendall County,1.5
17095,Illinois,Knox County,1.5
17097,Illinois,Lake County,1.5
17099,Illinois,LaSalle County,1.5
17101,Illinois,Lawrence County,1.5
17103,Illinois,Lee County,1.5
61740,Illinois,Livingston County,2
17107,Illinois,Logan County,1.5
17109,Illinois,McDonough County,1.5
17111,Illinois,McHenry County,1.5
61704,Illinois,Mclean County,2
17115,Illinois,Macon County,1.5
17117,Illinois,Macoupin County,1.5
17119,Illinois,Madison County,1.5
17121,Illinois,Marion County,1.5
17123,Illinois,Marshall County,1.5
17125,Illinois,Mason County,1.5
17127,Illinois,Massac County,1.5
17129,Illinois,Menard County,1.5
61231,Illinois,Mercer County,2
17133,Illinois,Monroe County,1.5
62032,Illinois,Montgomery County,2
17137,Illinois,Morgan County,1.5
17139,Illinois,Moultrie County,1.5
17141,Illinois,Ogle County,1.5
61604,Illinois,Peoria County,4
17145,Illinois,Perry County,1.5
17147,Illinois,Piatt County,1.5
17149,Illinois,Pike County,1.5
17151,Illinois,Pope County,1.5
17153,Illinois,Pulaski County,1.5
17155,Illinois,Putnam County,1.5
17157,Illinois,Randolph County,1.5
17159,Illinois,Richland County,1.5
61265,Illinois,Rock Island County,6
17163,Illinois,St. Clair County,1.5
17165,Illinois,Saline County,1.5
17167,Illinois,Sangamon County,1.5
17169,Illinois,Schuyler County,1.5
17171,Illinois,Scott County,1.5
17173,Illinois,Shelby County,1.5
17175,Illinois,Stark County,1.5
17177,Illinois,Stephenson County,1.5
17179,Illinois,Tazewell County,1.5
17181,Illinois,Union County,1.5
61810,Illinois,Vermilion County,2
17185,Illinois,Wabash County,1.5
17187,Illinois,Warren County,1.5
17189,Illinois,Washington County,1.5
